seqnames,start,end,width,strand,sampleID,hgncSymbol,type,pValue,padjust,psiValue,deltaPsi,counts,totalCounts,meanCounts,meanTotalCounts,nonsplitCounts,nonsplitProportion,nonsplitProportion_99quantile
chr20,1529594,1537154,7561,*,RD143,SIRPD,jaccard,2.7856e-8,0.0018747,1,0.97,12,12,2.84,70.67,0,0,NA
chr6,30702878,30703103,226,*,RD140,NA,jaccard,2.7863e-8,0.0025567,0.31,-0.63,11,36,91.46,96.78,5,0.14,NA
chr17,39557059,39564759,7701,*,RD140,CDK12,jaccard,2.7891e-8,0.0025567,0.86,0.85,12,14,4.85,73.02,0,0,NA
chr7,99619994,99621372,1379,*,RD158,ZSCAN25,jaccard,2.7905e-8,0.005038,0.02,-0.83,1,45,56.62,69.53,36,0.8,NA
chr1,211356469,211359878,3410,*,RD533,TRAF5,jaccard,2.7966e-8,0.015908,1,0.97,12,12,2.03,61.15,0,0,NA
chr1,5952837,5961793,8957,*,GSS115784,NPHP4,jaccard,2.7981e-8,0.04469,0,-0.97,0,22,12.55,13.69,0,0,NA
chr1,156787175,156791066,3892,*,RD139,PRCC,jaccard,2.7987e-8,0.0014087,0.46,0.41,39,84,16.11,261.95,0,0,NA
chr3,42209923,42219493,9571,*,RD144,TRAK1,jaccard,2.8006e-8,0.0028786,0.81,0.69,26,32,32.47,134.95,6,0.19,NA
chr19,39315816,39316081,266,*,RD448,NA,jaccard,2.804e-8,0.015735,0.93,0.91,27,29,1.35,33.55,0,0,NA
chr1,28329125,28330596,1472,*,RD534,NA,jaccard,2.8052e-8,0.0060256,0.42,0.41,42,101,4.31,144.19,16,0.16,NA
chr15,82477927,82513715,35789,*,UDN077682,NA,jaccard,2.8069e-8,0.0083853,1,0.96,28,28,2.04,34.62,0,0,NA
chr12,101920202,101921215,1014,*,RD466,DRAM1,jaccard,2.8072e-8,0.026992,0.05,-0.88,1,21,51.31,57.63,4,0.19,NA
chr20,64071942,64072171,230,*,RD466,TCEA2,jaccard,2.8095e-8,0.026992,0.03,-0.77,1,31,58.84,78.05,27,0.87,NA
chr11,11842225,11873799,31575,*,UDN240668,USP47,jaccard,2.8125e-8,0.013374,1,0.99,18,18,1.5,33.46,0,0,NA
chr9,112268196,112297831,29636,*,RD534,PTBP3,jaccard,2.8151e-8,0.0060256,1,0.89,12,12,12.65,153.79,0,0,NA
chr13,102649152,102649407,256,*,RD143,TPP2,jaccard,2.8153e-8,0.0018905,0.64,-0.36,35,55,146.28,150,20,0.36,NA
chr9,124926742,124928187,1446,*,GSS158504,GOLGA1,jaccard,2.8169e-8,0.023872,0.62,-0.37,50,80,59.55,61.05,0,0,NA
chr2,88862084,88862516,433,*,RD143,NA,jaccard,2.8217e-8,0.0018905,0.55,0.52,27,49,2.1,102.34,0,0,NA
chr22,50467691,50467785,95,*,RD275,SBF1,jaccard,2.823e-8,0.0035202,0,-0.74,0,18,230.22,292.63,0,0,NA
chr5,140440267,140440994,728,*,RD139,ANKHD1;ANKHD1-EIF4EBP3,jaccard,2.8241e-8,0.0014197,0.49,-0.48,17,35,121.72,122.58,18,0.51,NA
chr17,2365058,2365330,273,*,RD144,SGSM2,jaccard,2.8271e-8,0.0028915,0.6,0.59,12,20,0.42,129.35,0,0,NA
chr17,36492900,36493925,1026,*,RD143,NA,jaccard,2.8272e-8,0.0018905,0.44,-0.54,16,36,113.76,125.92,3,0.08,NA
chr16,89737906,89737975,70,*,RD420,ZNF276;FANCA,jaccard,2.8328e-8,0.015657,0.39,-0.33,347,879,480.2,632.5,511,0.58,NA
chr12,7202705,7203455,751,*,UDN240668,NA,jaccard,2.8345e-8,0.013374,0.37,0.36,52,142,5.77,153.81,31,0.22,NA
chr19,35341966,35344828,2863,*,RD143,CD22,jaccard,2.8394e-8,0.0018956,0,-0.77,0,15,314.45,337.98,3,0.2,NA
chr6,138788389,138792748,4360,*,UDN550488.Aligned.sortedByCoord.out.bam,CCDC28A,jaccard,2.8431e-8,0.0070273,0.12,-0.58,7,58,163.55,181.9,51,0.88,NA
chr19,2555189,2646223,91035,*,RD147,GNG7,jaccard,2.8474e-8,0.031949,0.32,-0.63,9,28,120.9,129.34,9,0.32,NA
chr7,134647260,134661446,14187,*,RD453,BPGM,jaccard,2.8507e-8,0.013606,0.04,-0.37,51,1417,3.58,116.65,60,0.04,NA
chr4,184766757,184768315,1559,*,RD221,ACSL1,jaccard,2.8517e-8,0.005457,0.69,-0.3,18,26,1320.35,1344.03,8,0.31,NA
chr12,50099901,50100053,153,*,RD144,SMARCD1,jaccard,2.8527e-8,0.0029105,0.38,0.37,24,63,11.49,241.91,39,0.62,NA
chr11,129874581,129874792,212,*,RD140,NFRKB,jaccard,2.8535e-8,0.00261,0.32,-0.65,8,25,64.9,71.02,17,0.68,NA
chr1,161038674,161038879,206,*,RD143,F11R;TSTD1,jaccard,2.8613e-8,0.0019041,0.22,-0.56,9,41,185.91,289.62,14,0.34,NA
chr19,35897059,35897650,592,*,RD534,NFKBID,jaccard,2.8616e-8,0.0060938,0,-0.68,0,37,50.07,77.47,24,0.65,NA
chr9,128323148,128323282,135,*,RD141,COQ4,jaccard,2.8621e-8,0.0060543,1,0.92,10,10,13.2,193.77,0,0,NA
chr17,17271009,17276034,5026,*,RD142,COPS3,jaccard,2.8653e-8,0.0013475,0.47,-0.51,20,43,188.38,199.42,0,0,NA
chr8,25390952,25391895,944,*,RD158,DOCK5,jaccard,2.8655e-8,0.005151,0.48,0.47,27,56,11.65,216.9,1,0.02,NA
chr14,81504307,81506073,1767,*,RD432,SEL1L,jaccard,2.8675e-8,0.02053,0.36,-0.63,5,14,87.78,88.65,9,0.64,NA
chr17,4022829,4032125,9297,*,RD140,ZZEF1,jaccard,2.8677e-8,0.0026172,0.3,0.3,25,82,2.78,198.11,0,0,NA
chr12,76487619,76559396,71778,*,RD141,OSBPL8,jaccard,2.8722e-8,0.0060543,0,-0.92,0,14,113.13,124.81,0,0,NA
chr1,213000384,213005032,4649,*,RD139,ANGEL2,jaccard,2.874e-8,0.0014431,0.7,0.68,57,82,8.15,78.16,0,0,NA
chr17,82752378,82763964,11587,*,UDN093752,NA,jaccard,2.8759e-8,0.016992,0.85,0.84,11,13,2.7,76.67,0,0,NA
chr3,130975489,130992950,17462,*,RD143,ATP2C1,jaccard,2.8784e-8,0.0019124,0.44,0.43,14,32,7.72,214.81,0,0,NA
chr5,71604469,71632120,27652,*,RD139,NA,jaccard,2.8871e-8,0.0014479,0.85,0.8,29,34,14.64,87.52,0,0,NA
chr21,33557317,33557545,229,*,RD293,SON,jaccard,2.896e-8,0.0074694,0.72,0.56,23,32,66.46,417.31,0,0,NA
chr13,102872399,102873258,860,*,RD380,BIVM-ERCC5;ERCC5,jaccard,2.8968e-8,0.0081276,0.58,-0.36,314,540,235.73,249.44,215,0.4,NA
chr2,20263461,20282946,19486,*,RD143,PUM2,jaccard,2.898e-8,0.0019193,0.02,-0.5,1,49,128.32,219.04,0,0,NA
chr11,66844778,66844868,91,*,RD139,RCE1,jaccard,2.9012e-8,0.0014532,0.57,0.55,33,58,1.07,90.78,8,0.14,NA
chr16,2050487,2053341,2855,*,RD143,TSC2,jaccard,2.9083e-8,0.0019231,0.39,-0.6,16,41,87.41,93.59,9,0.22,NA
chr12,6526201,6526286,86,*,UDN754828,NCAPD2,jaccard,2.9087e-8,0.018667,0.59,-0.41,20,34,129.01,130.48,14,0.41,NA
chr12,111453846,111455044,1199,*,RD144,ATXN2,jaccard,2.909e-8,0.0029472,0.77,0.74,17,22,2.71,82.04,4,0.18,NA
chr17,39531022,39544248,13227,*,RD420,CDK12,jaccard,2.914e-8,0.015657,0.73,0.6,44,60,17.18,107.38,16,0.27,NA
chr17,81237460,81238513,1054,*,RD143,TEPSIN,jaccard,2.9146e-8,0.0019241,0.36,0.35,38,107,12.06,231.41,43,0.4,NA
chr16,29962133,29963106,974,*,RD142,TMEM219,jaccard,2.9148e-8,0.0013674,0.61,0.45,43,70,149.41,397.2,17,0.24,NA
chr12,118381835,118384011,2177,*,RD139,SUDS3,jaccard,2.9169e-8,0.0014593,0.69,0.65,20,29,1.73,95.43,0,0,NA
chr2,108768389,108771700,3312,*,RD142,RANBP2,jaccard,2.9176e-8,0.0013674,0.15,-0.79,2,13,116.16,121.26,0,0,NA
chr5,160255709,160259468,3760,*,RD139,CCNJL,jaccard,2.9206e-8,0.0014594,0.41,-0.5,14,34,202.36,217.41,20,0.59,NA
chr5,76637177,76640932,3756,*,UDN754828,IQGAP2,jaccard,2.922e-8,0.018667,0.62,-0.37,50,80,100.98,103.44,10,0.12,NA
chr8,85202257,85207424,5168,*,RD147,E2F5,jaccard,2.9237e-8,0.031949,1,0.97,14,14,0.7,45.14,0,0,NA
chr16,125074,130521,5448,*,RD142,NPRL3,jaccard,2.9264e-8,0.0013685,0.51,0.46,62,122,89.23,324.61,0,0,NA
chr2,27629170,27629858,689,*,RD142,ZNF512;GPN1,jaccard,2.9264e-8,0.0013685,0.33,-0.59,14,42,81.46,84.23,0,0,NA
chr1,151293463,151294017,555,*,RD275,PI4KB,jaccard,2.9308e-8,0.0036435,0.32,0.3,40,126,12.8,287.43,20,0.16,NA
chr16,260161,261383,1223,*,UDN093752,FAM234A,jaccard,2.9335e-8,0.016992,0.47,-0.51,17,36,96.18,104.82,19,0.53,NA
chr5,175660692,175682708,22017,*,RD142,HRH2,jaccard,2.9348e-8,0.0013709,1,0.85,20,20,20.51,88.38,0,0,NA
chr3,133649944,133652462,2519,*,UDN077682,TOPBP1,jaccard,2.9359e-8,0.008708,0.46,-0.52,25,54,43.5,45.12,25,0.46,NA
chr4,168268970,168273278,4309,*,RD140,DDX60,jaccard,2.9366e-8,0.0026742,0.63,0.62,17,27,0.68,80.52,0,0,NA
chr18,47896810,47930799,33990,*,RD420,SMAD2,jaccard,2.941e-8,0.015657,0.63,0.53,41,65,31.73,192.8,0,0,NA
chrX,44524276,44538466,14191,*,RD139,FUNDC1,jaccard,2.9475e-8,0.0014641,0.55,0.54,21,38,0.64,96.77,0,0,NA
chr15,98916132,98916671,540,*,UDN240668,IGF1R,jaccard,2.9497e-8,0.013609,0.21,-0.78,4,19,48.37,49.83,0,0,NA
chr19,40084799,40090905,6107,*,RD466,NA,jaccard,2.9511e-8,0.026992,0.9,0.88,18,20,5.59,61.78,0,0,NA
chr17,21284970,21285914,945,*,RD221,MAP2K3,jaccard,2.9539e-8,0.0056266,0.33,0.32,14,42,14.41,1184.18,0,0,NA
chr21,32317066,32317675,610,*,GSS158504,URB1,jaccard,2.9552e-8,0.024464,0,-0.99,0,9,32.82,33.7,9,1,NA
chr19,39380085,39380586,502,*,RD142,SAMD4B,jaccard,2.9579e-8,0.001379,0.14,-0.77,2,14,82.64,85.44,12,0.86,NA
chr14,103915190,103921469,6280,*,RD142,ATP5MJ,jaccard,2.9603e-8,0.001379,0.46,-0.49,48,104,252.57,272.56,0,0,NA
chrX,48481529,48481631,103,*,RD533,FTSJ1,jaccard,2.9631e-8,0.016627,0.63,-0.36,71,113,150.92,158.57,15,0.13,NA
chr19,54190372,54191360,989,*,RD139,NA,jaccard,2.9641e-8,0.0014706,0.33,0.32,16,49,2.34,320.66,32,0.65,NA
chr7,142720729,142720865,137,*,RD432,NA,jaccard,2.9674e-8,0.020885,0.57,-0.41,33,58,224.68,229.42,25,0.43,NA
chr1,154436111,154448124,12014,*,RD047,IL6R,jaccard,2.9677e-8,0.045643,0.53,-0.31,109,206,729.04,864.44,1,0,NA
chr8,38268408,38268881,474,*,RD465,DDHD2;PLPP5,jaccard,2.9725e-8,0.013692,0.36,0.36,18,50,2.8,206.63,23,0.46,NA
chr11,72809491,72810415,925,*,RD142,LOC107984421,jaccard,2.9839e-8,0.001386,0.96,0.88,25,26,1.18,45.07,1,0.04,NA
chr13,41373881,41374741,861,*,RD466,NAA16,jaccard,2.9862e-8,0.026992,0.78,0.77,14,18,1.67,58.18,4,0.22,NA
chr11,9176903,9178131,1229,*,RD275,DENND5A,jaccard,2.9882e-8,0.003693,0.5,0.47,14,28,5.24,381.9,0,0,NA
chr4,152350125,152411302,61178,*,UDN110107,FBXW7,jaccard,2.9896e-8,0.019099,0.08,-0.84,4,50,38.69,45.95,0,0,NA
chr11,8126808,8137377,10570,*,RD435,RIC3,jaccard,2.9961e-8,0.020396,1,0.99,14,14,1.74,34.8,0,0,NA
chr2,271940,272191,252,*,RD139,ACP1,jaccard,3.002e-8,0.0014863,0.71,0.59,91,129,50.37,388.74,0,0,NA
chr8,96257115,96258191,1077,*,RD420,MTERF3,jaccard,3.0035e-8,0.015787,1,0.98,11,11,1.29,43.28,0,0,NA
chr2,25771541,25799384,27844,*,GSS158504,ASXL2,jaccard,3.0046e-8,0.024464,0,-0.89,0,35,33.84,40.62,0,0,NA
chr11,75282022,75283286,1265,*,RD312,ARRB1,jaccard,3.0061e-8,0.046233,0.66,-0.33,21,32,297.3,306.4,1,0.03,NA
chr3,131001315,131016151,14837,*,RD139,ATP2C1;ASTE1,jaccard,3.0065e-8,0.0014863,0.53,0.52,17,32,6.52,155.84,15,0.47,NA
chr12,49798464,49801847,3384,*,RD448,NCKAP5L,jaccard,3.0076e-8,0.016652,0.42,-0.57,27,64,58.17,60.27,0,0,NA
chr6,33211548,33211728,181,*,RD142,NA,jaccard,3.0081e-8,0.0013956,0.97,0.39,92,95,146.52,177.73,3,0.03,NA
chr5,180550118,180553385,3268,*,RD466,CNOT6,jaccard,3.0089e-8,0.026992,0,-0.99,0,8,49.73,51.57,0,0,NA
chr8,17991701,17993482,1782,*,RD144,PCM1,jaccard,3.0191e-8,0.0030408,1,0.5,60,60,80.52,132.6,0,0,NA
chr10,69319011,69343826,24816,*,RD534,HK1,jaccard,3.0211e-8,0.006336,0.58,-0.4,45,77,256.68,273.39,21,0.27,NA
chr4,168433116,168441336,8221,*,RD432,DDX60L,jaccard,3.0222e-8,0.020916,0,-0.98,0,9,69.71,72.02,0,0,NA
chr20,28601840,28602608,769,*,GSS115784,FRG1CP,jaccard,3.0231e-8,0.046216,0.73,0.73,22,30,0.31,59.23,0,0,NA
chr17,3824093,3824941,849,*,RD143,NCBP3,jaccard,3.0233e-8,0.0019927,0.9,0.75,26,29,2.09,71.87,1,0.03,NA
chr16,30650807,30651595,789,*,UDN093752,PRR14,jaccard,3.0247e-8,0.016992,0.32,-0.5,26,80,204.11,242.89,24,0.3,NA
chr6,111741094,111759844,18751,*,RD144,FYN,jaccard,3.0277e-8,0.0030408,1,0.97,14,14,1.29,38.22,0,0,NA
chr9,128833644,128833739,96,*,UDN093752,KYAT1-SPOUT1;KYAT1,jaccard,3.0281e-8,0.016992,0,-0.76,0,34,38.72,51.21,18,0.53,NA
chr7,124841179,124842806,1628,*,UDN077682,POT1,jaccard,3.0297e-8,0.0088836,0.52,-0.48,15,29,42.7,44.64,0,0,NA
chr11,292984,293067,84,*,RD144,PGGHG,jaccard,3.0316e-8,0.0030408,0.65,0.64,11,17,0.93,91.32,6,0.35,NA
chr8,27600010,27604290,4281,*,RD158,CLU,jaccard,3.0331e-8,0.0053781,0.69,-0.3,20,29,372.34,374.23,9,0.31,NA
chr1,32621949,32627507,5559,*,RD158,ZBTB8OS,jaccard,3.0436e-8,0.0053781,0.19,-0.76,4,21,59.7,70.93,1,0.05,NA
chr17,57872856,57873590,735,*,RD142,CUEDC1,jaccard,3.0469e-8,0.0014105,0,-0.89,0,14,99.21,103.92,0,0,NA
chr10,109894111,109907690,13580,*,RD139,XPNPEP1,jaccard,3.0521e-8,0.0015059,0.66,0.6,38,58,3.92,108.68,0,0,NA
chr13,102638316,102640298,1983,*,RD466,TPP2,jaccard,3.055e-8,0.026992,0.39,0.38,17,44,1.37,142.33,13,0.3,NA
chr20,45180119,45184644,4526,*,RD140,LINC02597,jaccard,3.0554e-8,0.0027702,0.44,0.44,16,36,4.73,197.91,20,0.56,NA
chr2,229805803,229807707,1905,*,RD144,TRIP12,jaccard,3.0622e-8,0.003064,0.68,0.62,17,25,20.47,235.58,7,0.28,NA
chr4,174237600,174238993,1394,*,RD465,FBXO8,jaccard,3.0647e-8,0.013692,0.15,-0.8,2,13,48.36,50.66,11,0.85,NA
chr9,132208921,132226848,17928,*,RD465,NTNG2,jaccard,3.0666e-8,0.013692,0.74,0.73,14,19,1.45,72.25,0,0,NA
chr12,40253017,40259479,6463,*,RD144,LRRK2,jaccard,3.0718e-8,0.0030663,0.48,0.48,15,31,0.55,269.51,0,0,NA
chr11,73677963,73679653,1691,*,UDN238929.Aligned.sortedByCoord.out.bam,RAB6A,jaccard,3.0762e-8,0.008631,0.41,-0.43,88,214,279.19,287.98,122,0.57,NA
chr3,52478283,52478372,90,*,RD139,NISCH,jaccard,3.0789e-8,0.0015166,0.76,0.64,35,46,26.67,159.86,2,0.04,NA
chr12,122138939,122140953,2015,*,UDN550488.Aligned.sortedByCoord.out.bam,NA,jaccard,3.0791e-8,0.0075656,0.05,-0.48,7,142,129.42,137.61,135,0.95,NA
chr14,52661305,52663800,2496,*,UDN077682,ERO1A,jaccard,3.084e-8,0.008935,0.65,-0.34,105,161,112.17,117.13,45,0.28,NA
chr1,230683636,230685084,1449,*,GSS178184,COG2,jaccard,3.0903e-8,0.015843,0,-0.98,0,8,38.43,39.9,8,1,NA
chr11,68583130,68587797,4668,*,RD420,PPP6R3,jaccard,3.0938e-8,0.015811,0.8,0.78,16,20,4.05,78.3,0,0,NA
chr2,172495517,172496131,615,*,RD275,ITGA6;PDK1-AS1,jaccard,3.0965e-8,0.0038042,1,0.89,61,61,6.62,35.74,0,0,NA
chr6,29889605,30261586,371982,*,RD435,NA,jaccard,3.0978e-8,0.020748,0.34,0.34,1038,3046,84.24,4545.07,1,0,NA
chr16,18816530,18817290,761,*,UDN077682,SMG1,jaccard,3.0985e-8,0.008935,0.59,-0.4,54,92,90.63,93.44,0,0,NA
chr14,50763965,50766779,2815,*,RD139,NIN,jaccard,3.0995e-8,0.0015232,0.32,0.31,53,167,12.23,219.55,1,0.01,NA
chr9,92112563,92115313,2751,*,RD420,SPTLC1,jaccard,3.1004e-8,0.015811,0.23,-0.76,5,22,68.2,73.61,0,0,NA
chr19,51414516,51414823,308,*,GSS184494,SIGLEC10,jaccard,3.103e-8,0.046019,0.19,-0.3,101,541,368.38,726.59,379,0.7,NA
chr1,157803997,157807101,3105,*,RD534,FCRL1,jaccard,3.1044e-8,0.006478,0.61,0.59,20,33,11.17,155.72,13,0.39,NA
chr17,31983105,31988319,5215,*,RD275,SUZ12,jaccard,3.1101e-8,0.0038097,0,-0.9,0,14,86.36,91.73,0,0,NA
chr5,36153043,36163644,10602,*,UDN093752,SKP2,jaccard,3.1153e-8,0.017124,0,-0.96,0,26,25.25,27.51,4,0.15,NA
chr6,8414978,8416883,1906,*,GSS115784,LOC105374910;SLC35B3,jaccard,3.1163e-8,0.046216,0,-0.99,0,7,33.04,34.66,7,1,NA
chr11,3824365,3825019,655,*,RD142,PGAP2,jaccard,3.1199e-8,0.0014395,0.95,0.7,39,41,19.66,96.06,2,0.05,NA
chr4,54049107,54049250,144,*,RD139,PDGFRA;CHIC2,jaccard,3.122e-8,0.0015324,0.42,0.42,11,26,1.85,199.69,0,0,NA
chr7,102624352,102638713,14362,*,UDN077682,RASA4;UPK3BL1;POLR2J2-UPK3BL1,jaccard,3.1229e-8,0.0089434,1,0.93,20,20,2.45,59.77,0,0,NA
chr13,20067391,20082015,14625,*,RD465,ZMYM2,jaccard,3.1242e-8,0.013801,0.35,-0.61,19,55,93.98,106.01,7,0.13,NA
chr12,8992311,9008976,16666,*,RD142,KLRG1,jaccard,3.1261e-8,0.0014403,0.64,0.63,18,28,0.43,126.14,0,0,NA
chr7,32558629,32559222,594,*,RD142,AVL9,jaccard,3.1286e-8,0.0014403,0.65,0.64,26,40,2.4,79.86,5,0.12,NA
chr2,128182291,128183674,1384,*,RD275,UGGT1,jaccard,3.1318e-8,0.0038249,0,-0.75,0,26,62.4,73.57,0,0,NA
chr11,73405385,73405653,269,*,RD139,FAM168A,jaccard,3.1328e-8,0.0015359,0.59,0.57,47,79,18.93,162.1,32,0.41,NA
chr17,75485999,75486289,291,*,UDN093752,TMEM94,jaccard,3.1341e-8,0.017124,0,-0.91,0,19,33.84,38.51,19,1,NA
chr17,42665563,42665677,115,*,UDN754828,TUBG2,jaccard,3.1346e-8,0.01952,0,-0.85,0,22,46.86,61.09,22,1,NA
chrX,71122875,71123094,220,*,RD142,MED12,jaccard,3.1373e-8,0.0014411,0,-0.89,0,13,64.44,71.3,13,1,NA
chr1,110050410,110050955,546,*,RD139,STRIP1,jaccard,3.1438e-8,0.0015394,0.48,-0.5,12,25,136.47,139.83,13,0.52,NA
chr7,128990101,128991998,1898,*,RD533,TNPO3,jaccard,3.1476e-8,0.017198,0.5,-0.5,14,28,109.5,113.25,0,0,NA
chr7,45109288,45111642,2355,*,UDN754828,TBRG4,jaccard,3.1495e-8,0.01952,0.1,-0.79,4,40,64.75,85.76,5,0.12,NA
chr19,38325578,38326592,1015,*,RD144,KCNK6,jaccard,3.1526e-8,0.0031318,0.89,0.84,17,19,11.06,114.9,1,0.05,NA
chr11,65113415,65113490,76,*,RD139,TM7SF2,jaccard,3.156e-8,0.0015436,0.15,-0.81,4,27,53.18,56.6,23,0.85,NA
chr12,30690578,30694977,4400,*,RD147,IPO8,jaccard,3.1564e-8,0.032239,1,0.98,11,11,1.04,56.43,0,0,NA
chr1,498457,735422,236966,*,RD143,LOC100132287;LOC105378947;LOC100288069,jaccard,3.1569e-8,0.0020742,1,0.98,21,21,1.84,54.67,0,0,NA
chr1,77968204,77969021,818,*,RD420,FUBP1,jaccard,3.1573e-8,0.015811,0.52,0.5,26,50,9.59,174.34,0,0,NA
chr7,155301691,155302250,560,*,RD268,INSIG1,jaccard,3.1586e-8,0.00591,0.54,-0.46,37,69,79.94,82.14,32,0.46,NA
chr3,55073558,55073776,219,*,RD268,CACNA2D3,jaccard,3.1596e-8,0.00591,0.24,-0.71,11,45,46.77,50.56,34,0.76,NA
chr5,57183919,57214073,30155,*,RD420,GPBP1,jaccard,3.1603e-8,0.015811,0.56,0.55,18,32,6.31,150.01,0,0,NA
chr16,20900890,20915555,14666,*,RD144,LYRM1,jaccard,3.1634e-8,0.0031351,1,0.69,30,30,52.23,140.75,0,0,NA
chr2,3379877,3387619,7743,*,RD147,NA,jaccard,3.1647e-8,0.032239,0.48,-0.49,23,48,174.27,188.5,5,0.1,NA
chr18,79715529,79716859,1331,*,RD293,NA,jaccard,3.1655e-8,0.0080644,0.52,0.5,14,27,1.64,222.22,0,0,NA
chr4,107670864,107682014,11151,*,RD221,PAPSS1,jaccard,3.1673e-8,0.0059782,0.87,0.83,27,31,2.95,159.55,2,0.06,NA
chr11,128694277,128696396,2120,*,RD312,FLI1;SENCR,jaccard,3.1678e-8,0.046286,0.86,0.83,6,7,3.09,697.89,0,0,NA
chr7,38215106,38217187,2082,*,RD142,STARD3NL,jaccard,3.1728e-8,0.0014558,0.47,0.46,23,49,11.54,195.28,2,0.04,NA
chr6,130215295,130216570,1276,*,RD139,SAMD3,jaccard,3.1737e-8,0.0015505,1,0.66,38,38,52.91,130.98,0,0,NA
chr8,100259247,100259853,607,*,RD453,SPAG1;RNF19A,jaccard,3.1742e-8,0.014771,0.52,-0.39,61,117,172.42,183.69,0,0,NA
chr7,100072213,100075134,2922,*,RD143,ZNF3,jaccard,3.1765e-8,0.0020838,0,-0.96,0,10,52.29,56.11,10,1,NA
chr1,184899310,184964352,65043,*,RD142,NIBAN1,jaccard,3.1768e-8,0.001456,0.38,0.38,19,50,6.35,345.39,0,0,NA
chr2,151806973,151812356,5384,*,RD147,ARL5A;CACNB4,jaccard,3.1832e-8,0.032239,0.37,-0.62,10,27,83.57,85.4,0,0,NA
chr2,178441705,178443266,1562,*,RD144,PRKRA,jaccard,3.1901e-8,0.003154,0.52,-0.47,28,54,74.64,78.17,0,0,NA
chr19,50481948,50482148,201,*,RD139,EMC10,jaccard,3.1958e-8,0.0015594,0.45,0.43,50,110,22.63,251.13,2,0.02,NA
chrX,48983471,48983774,304,*,RD275,NA,jaccard,3.2004e-8,0.0038973,0.44,0.39,28,63,3.94,277.38,1,0.02,NA
chr17,42113843,42113999,157,*,UDN994504.Aligned.sortedByCoord.out.bam,KAT2A,jaccard,3.2055e-8,0.016114,0.62,-0.33,61,99,278.18,284.58,38,0.38,NA
chr17,82941484,82942448,965,*,RD142,NA,jaccard,3.2055e-8,0.0014676,0.92,0.42,119,129,133.04,169.41,10,0.08,NA
chr3,47841179,47841532,354,*,RD435,DHX30,jaccard,3.209e-8,0.020997,0.38,0.38,26,69,0.36,126.07,2,0.03,NA
chr16,67944932,67945086,155,*,RD268,SLC12A4,jaccard,3.2107e-8,0.0059786,0.27,-0.7,25,91,62.4,68.51,65,0.71,NA
chr11,64351256,64351475,220,*,RD275,CCDC88B,jaccard,3.211e-8,0.0038987,0.17,-0.35,18,107,548.13,907.44,69,0.64,NA
chr15,92972418,92974878,2461,*,RD448,CHD2,jaccard,3.2112e-8,0.017546,0.4,-0.57,12,30,71.85,76.07,14,0.47,NA
chr16,71861943,71864137,2195,*,UDN240668,ATXN1L;IST1;ZNF821,jaccard,3.212e-8,0.014498,0,-0.85,0,43,24,30.57,18,0.42,NA
chr11,65623645,65623928,284,*,RD139,PCNX3,jaccard,3.2232e-8,0.0015691,0.44,-0.51,15,34,125.44,129.01,19,0.56,NA
chr22,39968273,39969410,1138,*,RD312,GRAP2,jaccard,3.2325e-8,0.046286,0.57,-0.39,31,54,193.1,210.97,21,0.39,NA
chr13,75526640,75530310,3671,*,RD465,COMMD6,jaccard,3.2359e-8,0.014144,0.59,0.58,16,27,9.32,224.79,6,0.22,NA
chr3,69025713,69025995,283,*,RD435,TMF1,jaccard,3.2362e-8,0.020997,0.57,-0.4,27,47,122.92,128.98,20,0.43,NA
chr4,118704052,118709997,5946,*,RD141,METTL14,jaccard,3.2362e-8,0.0067191,0.94,0.87,16,17,8.1,95.88,0,0,NA
chr19,40257055,40265221,8167,*,RD139,AKT2,jaccard,3.242e-8,0.0015759,0.64,-0.34,54,85,398.83,439.26,0,0,NA
chr8,86551101,86551182,82,*,RD144,CPNE3,jaccard,3.2427e-8,0.0031908,0.58,-0.39,21,36,92.02,94.6,15,0.42,NA
chr15,63062646,63065895,3250,*,RD142,TPM1,jaccard,3.2446e-8,0.0014822,0.7,0.69,16,23,0.64,206.16,1,0.04,NA
chr1,205096912,205097325,414,*,RD140,RBBP5,jaccard,3.2451e-8,0.0029294,0.16,-0.81,3,19,69.37,74.09,0,0,NA
chr7,158739122,158741522,2401,*,RD139,ESYT2,jaccard,3.2458e-8,0.0015759,0.15,-0.6,5,33,193.5,231.84,0,0,NA
chr12,49658595,49661965,3371,*,RD466,FMNL3,jaccard,3.2472e-8,0.027197,0.67,0.66,26,39,2.71,60.57,0,0,NA
chr7,129018158,129019870,1713,*,RD139,TNPO3,jaccard,3.2485e-8,0.0015759,0.75,0.66,36,48,4.87,105.63,0,0,NA
chr6,147206069,147235249,29181,*,RD380,STXBP5,jaccard,3.2505e-8,0.0090534,0.27,-0.72,31,115,41.74,44.8,82,0.71,NA
chr16,1772647,1772798,152,*,RD139,MRPS34,jaccard,3.2539e-8,0.0015766,0.25,-0.47,25,99,421.08,504.68,38,0.38,NA
chr18,45748426,45752177,3752,*,RD144,SLC14A1,jaccard,3.2558e-8,0.0031961,1,0.9,17,17,25.71,106.68,0,0,NA
chr20,48823652,48827641,3990,*,RD142,PREX1,jaccard,3.2559e-8,0.0014833,0.32,0.32,12,37,2.74,331.1,0,0,NA
chr3,49712657,49713512,856,*,RD158,RNF123,jaccard,3.2559e-8,0.00569,0.96,0.51,47,49,154.6,186.74,2,0.04,NA
