gene	transcript	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
ABCB7	ENST00000253577	145	2.8229e+02	5.1366e-01	1.9948e-05	4888	18	1.0918e+02	1.6487e-01	1975	105	1.0376e+02	1.0120e+00	7.6180e-06	1507	0	2.0954e-06	461	2.7459e+01	9.9994e-01	1.0727e-11	6.1928e-05	0.0000e+00	8.6300e-01	1.1900e+00	4.4800e-01	5.9000e-01	0.0000e+00	1.0900e-01		-9.5823e-02	2.9037e+00	4.8558e+00	252	0	0	1	1.0531e-02	1.0531e-02	122732	1208	702	124642	7.6915e-03	7.3738e+00	1.9797e-03	9.5033e-03	1.1127e-02	7.2364e-05	3.5202e-03	1.6868e-02	1.2425e-02	3.5519e-03	1.5442e-03	7.5737e-03	8.3147e-03	5.4581e-05	2.6141e-03	1.2176e-02	9.2259e-03	2.2220e-03	protein_coding	ENSG00000131269	2	2259	16	protein_coding	103453	9.9505e-01	1	1.9861e+01	5.0351e-02	NA	X	74273115	74376567
UTP15	ENST00000296792	207	2.7394e+02	7.5565e-01	1.3694e-05	3370	61	1.0264e+02	5.9428e-01	1272	95	9.7058e+01	9.7879e-01	4.9148e-06	997	0	1.5991e-06	334	2.7047e+01	9.9993e-01	1.5607e-11	7.2231e-05	0.0000e+00	8.2800e-01	1.1610e+00	6.7400e-01	8.4800e-01	0.0000e+00	1.1000e-01		1.6425e-01	1.4372e+00	4.8192e+00	253	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000164338	2	1554	12	protein_coding	16527	9.8584e-01	2	2.1435e+01	9.3304e-02	NA	5	72861268	72877794
SETBP1	ENST00000282030	776	8.6685e+02	8.9520e-01	5.2827e-05	10480	324	4.3979e+02	7.3671e-01	5491	381	3.5566e+02	1.0712e+00	2.4238e-05	3183	1	2.6181e-06	588	4.3273e+01	1.0000e+00	6.6750e-17	8.6996e-07	2.3109e-02	9.8400e-01	1.1660e+00	8.4300e-01	9.5000e-01	7.0000e-03	1.1000e-01		-1.0562e+00	1.0965e+00	5.9549e+00	254	0	0	2	2.8284e-05	2.3890e-05	125674	7	0	125681	2.7849e-05	9.7472e-05	4.4467e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.3070e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000152217	2	4788	5	protein_coding	388338	9.9900e-01	2	2.8566e+01	7.0013e-02	NA	18	42260138	42648475
ARID5B	ENST00000279873	478	6.6694e+02	7.1670e-01	3.6520e-05	7817	216	3.3427e+02	6.4618e-01	3970	274	2.7849e+02	9.8387e-01	1.7142e-05	2311	1	2.0566e-06	579	4.3003e+01	1.0000e+00	8.5306e-17	9.6213e-07	2.3254e-02	8.9100e-01	1.0870e+00	6.6400e-01	7.7300e-01	7.0000e-03	1.1000e-01		2.1165e-01	2.5999e+00	5.9354e+00	255	0	0	3	1.1963e-05	3.9932e-06	125667	3	0	125670	1.1936e-05	1.7904e-05	0.0000e+00	2.8928e-05	9.9602e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.2669e-05	0.0000e+00	2.8909e-05	9.9290e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.2663e-05	protein_coding	ENSG00000150347	2	3564	10	protein_coding	195645	9.9989e-01	0	2.5642e+01	0.0000e+00	NA	10	63661059	63856703
RBM10	ENST00000377604	172	4.3342e+02	3.9684e-01	3.9750e-05	6004	46	1.4172e+02	3.2458e-01	1901	176	1.8013e+02	9.7707e-01	1.7062e-05	1791	1	3.5050e-06	618	4.3070e+01	1.0000e+00	8.0300e-17	9.3854e-07	2.3218e-02	8.6300e-01	1.1070e+00	3.5000e-01	4.5000e-01	7.0000e-03	1.1000e-01		2.4196e-01	4.4623e+00	5.9402e+00	256	0	0	1	5.5115e-06	5.5115e-06	123984	1	0	123985	4.0328e-06	2.0164e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.2387e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.9454e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000182872	2	2790	23	protein_coding	41945	9.9991e-01	0	2.6246e+01	0.0000e+00	NA	X	47004268	47046212
TPR	ENST00000367478	900	1.1905e+03	7.5600e-01	6.2678e-05	15498	21	5.0762e+01	4.1369e-01	517	425	4.0104e+02	1.0598e+00	1.9288e-05	4365	9	7.5799e-06	1694	1.4115e+02	1.0000e+00	3.1968e-47	5.9035e-17	6.3762e-02	9.7800e-01	1.1480e+00	7.1500e-01	7.9900e-01	3.7000e-02	1.1100e-01		-9.4064e-01	2.9916e+00	1.0307e+01	257	0	0	19	8.1084e-05	8.1723e-06	124884	20	0	124904	8.0065e-05	8.0068e-04	2.5976e-04	3.0237e-05	0.0000e+00	0.0000e+00	4.6417e-05	1.0687e-04	1.6545e-04	3.2772e-05	2.5796e-04	2.8942e-05	0.0000e+00	0.0000e+00	4.6319e-05	1.0587e-04	1.6487e-04	3.2678e-05	protein_coding	ENSG00000047410	2	7089	51	protein_coding	64042	1.0000e+00	6	9.7903e+01	6.1285e-02	NA	1	186280784	186344825
RCOR1	ENST00000262241	152	2.3211e+02	6.5488e-01	1.2459e-05	3142	41	9.6820e+01	4.2347e-01	1142	89	8.0441e+01	1.1064e+00	4.1657e-06	891	0	1.4506e-06	314	2.6832e+01	9.9992e-01	1.8986e-11	7.8283e-05	0.0000e+00	9.3100e-01	1.3200e+00	5.7300e-01	7.4900e-01	0.0000e+00	1.1100e-01		-7.5018e-01	1.8685e+00	4.8000e+00	258	0	0	1	4.0389e-06	4.0389e-06	123794	1	0	123795	4.0389e-06	2.0195e-06	0.0000e+00	0.0000e+00	9.9920e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.9925e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000089902	2	1455	12	protein_coding	137916	9.9404e-01	1	1.9364e+01	5.1642e-02	NA	14	103058998	103196913
SUFU	ENST00000369902	194	2.8605e+02	6.7820e-01	1.7921e-05	3158	47	1.0727e+02	4.3813e-01	1250	108	1.1789e+02	9.1613e-01	7.8001e-06	967	0	1.4594e-06	288	2.6875e+01	9.9992e-01	1.8246e-11	7.7016e-05	0.0000e+00	7.8300e-01	1.0750e+00	6.0200e-01	7.6400e-01	0.0000e+00	1.1100e-01		7.1586e-01	1.9341e+00	4.8039e+00	259	0	0	1	4.0263e-06	4.0263e-06	124184	1	0	124185	4.0263e-06	2.0131e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.6206e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.6208e-05	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000107882	2	1452	12	protein_coding	129549	9.9916e-01	0	2.0211e+01	0.0000e+00	NA	10	104263744	104393292
TRPS1	ENST00000395715	562	6.7482e+02	8.3282e-01	3.7304e-05	8551	229	3.4213e+02	6.6934e-01	4372	283	2.7043e+02	1.0465e+00	1.6894e-05	2490	1	2.3412e-06	584	4.2858e+01	1.0000e+00	9.7375e-17	1.0158e-06	2.3333e-02	9.4900e-01	1.1550e+00	7.7600e-01	8.9300e-01	7.0000e-03	1.1100e-01		-6.0081e-01	1.5433e+00	5.9249e+00	260	0	0	2	8.0971e-06	4.0839e-06	124686	2	0	124688	8.0201e-06	8.0201e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.7830e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.7682e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000104447	2	3882	6	protein_coding	401176	9.9011e-01	3	2.6816e+01	1.1187e-01	NA	8	116420724	116821899
MTA1	ENST00000331320	271	4.8890e+02	5.5430e-01	3.4877e-05	4626	80	2.2415e+02	3.5690e-01	2048	217	2.1063e+02	1.0302e+00	1.6645e-05	1402	1	2.1313e-06	486	4.2706e+01	1.0000e+00	1.1181e-16	1.0752e-06	2.3416e-02	9.2100e-01	1.1530e+00	5.0100e-01	6.1300e-01	7.0000e-03	1.1100e-01		-3.4480e-01	3.5020e+00	5.9139e+00	261	0	0	2	8.5269e-06	4.5251e-06	125014	2	0	125016	7.9990e-06	7.9990e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.8827e-06	0.0000e+00	3.7114e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.8769e-06	0.0000e+00	3.2672e-05	protein_coding	ENSG00000182979	2	2145	21	protein_coding	50908	9.9975e-01	1	2.7835e+01	3.5926e-02	NA	14	105886159	105937066
RUVBL2	ENST00000595090	178	3.3937e+02	5.2450e-01	2.4356e-05	2989	51	1.5646e+02	3.2596e-01	1287	139	1.3966e+02	9.9525e-01	1.0536e-05	928	0	1.3729e-06	288	2.6773e+01	9.9992e-01	2.0028e-11	8.0020e-05	0.0000e+00	8.6600e-01	1.1460e+00	4.6300e-01	5.9400e-01	0.0000e+00	1.1100e-01		4.4113e-02	3.1128e+00	4.7948e+00	262	0	0	2	8.5690e-06	4.5541e-06	124734	2	0	124736	8.0170e-06	8.0170e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.0218e-05	0.0000e+00	3.2795e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.8335e-06	0.0000e+00	3.2678e-05	protein_coding	ENSG00000183207	2	1389	15	protein_coding	22548	9.9911e-01	0	2.0052e+01	0.0000e+00	NA	19	49496705	49519252
EIF4G3	ENST00000602326	605	8.4838e+02	7.1313e-01	4.3847e-05	10409	211	3.8880e+02	5.4269e-01	4759	302	3.0309e+02	9.9639e-01	1.5858e-05	3089	4	4.4619e-06	957	8.1384e+01	1.0000e+00	7.9040e-29	7.9032e-11	4.9150e-02	9.0600e-01	1.0960e+00	6.6600e-01	7.6300e-01	2.3000e-02	1.1200e-01		4.9352e-02	2.9693e+00	7.9488e+00	263	0	0	5	6.4112e-05	4.7990e-05	125730	16	0	125746	6.3622e-05	5.0899e-04	8.0062e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.6721e-05	0.0000e+00	0.0000e+00	8.0002e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.6370e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000075151	2	4773	31	protein_coding	370415	1.0000e+00	3	5.7777e+01	5.1923e-02	NA	1	21132963	21503377
MDM4	ENST00000367182	181	2.5852e+02	7.0013e-01	1.2650e-05	3230	33	8.3031e+01	3.9744e-01	1066	101	9.2172e+01	1.0958e+00	4.9345e-06	894	0	1.3922e-06	326	2.6734e+01	9.9992e-01	2.0764e-11	8.1214e-05	0.0000e+00	9.3200e-01	1.2930e+00	6.1900e-01	7.9200e-01	0.0000e+00	1.1200e-01		-7.2278e-01	1.7134e+00	4.7912e+00	264	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000198625	2	1470	10	protein_coding	57361	9.9857e-01	0	1.8781e+01	0.0000e+00	NA	1	204485511	204542871
NTRK2	ENST00000376214	244	4.7241e+02	5.1650e-01	2.7595e-05	5565	63	2.3141e+02	2.7224e-01	2768	197	1.9321e+02	1.0196e+00	1.3311e-05	1579	1	2.2925e-06	480	4.2417e+01	1.0000e+00	1.4551e-16	1.1980e-06	2.3575e-02	9.0700e-01	1.1470e+00	4.6400e-01	5.7400e-01	7.0000e-03	1.1200e-01		-2.1455e-01	3.7344e+00	5.8929e+00	265	0	0	2	7.9622e-06	3.9829e-06	125704	2	0	125706	7.9551e-06	7.9551e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.7604e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.7584e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000148053	3	2514	18	protein_coding	355040	9.9989e-01	1	3.0131e+01	3.3188e-02	NA	9	87283466	87638505
ANKHD1	ENST00000297183	886	1.3475e+03	6.5749e-01	6.8087e-05	16924	135	2.5330e+02	5.3297e-01	3146	468	4.9461e+02	9.4620e-01	2.5323e-05	5461	6	5.9736e-06	1311	1.0601e+02	1.0000e+00	1.8026e-36	2.1392e-13	5.6598e-02	8.7600e-01	1.0210e+00	6.2100e-01	6.9500e-01	3.0000e-02	1.1200e-01		9.4058e-01	4.4679e+00	9.0010e+00	266	0	0	13	2.1140e-04	1.5457e-04	124478	48	1	124527	1.9676e-04	4.8212e-03	6.4078e-05	1.1944e-03	0.0000e+00	1.0877e-04	4.6232e-05	2.7392e-05	0.0000e+00	1.6333e-04	6.1518e-05	1.1281e-03	0.0000e+00	1.0874e-04	4.6195e-05	2.6941e-05	0.0000e+00	9.7993e-05	protein_coding	ENSG00000131503	1	7851	36	protein_coding	147765	1.0000e+00	3	7.7332e+01	3.8794e-02	NA	5	139781399	139929163
ANKHD1-EIF4EBP3	ENST00000532219	886	1.3475e+03	6.5749e-01	6.8087e-05	16924	135	2.5330e+02	5.3297e-01	3146	468	4.9461e+02	9.4620e-01	2.5323e-05	5461	6	5.9736e-06	1311	1.0601e+02	1.0000e+00	1.8026e-36	2.1392e-13	5.6598e-02	8.7600e-01	1.0210e+00	6.2100e-01	6.9500e-01	3.0000e-02	1.1200e-01		9.4058e-01	4.4679e+00	9.0010e+00	267	0	0	13	2.1140e-04	1.5457e-04	124478	48	1	124527	1.9676e-04	4.8212e-03	6.4078e-05	1.1944e-03	0.0000e+00	1.0877e-04	4.6232e-05	2.7392e-05	0.0000e+00	1.6333e-04	6.1518e-05	1.1281e-03	0.0000e+00	1.0874e-04	4.6195e-05	2.6941e-05	0.0000e+00	9.7993e-05	protein_coding	ENSG00000254996	2	7851	36	protein_coding	147662	1.0000e+00	3	7.7332e+01	3.8794e-02	NA	5	139781493	139929154
RORB	ENST00000376896	116	2.5439e+02	4.5600e-01	1.3546e-05	3033	8	8.6311e+01	9.2688e-02	1042	101	1.0111e+02	9.9889e-01	6.3528e-06	827	0	1.3372e-06	304	2.6583e+01	9.9991e-01	2.3827e-11	8.5933e-05	0.0000e+00	8.4900e-01	1.1780e+00	3.9100e-01	5.3200e-01	0.0000e+00	1.1200e-01		8.7988e-03	3.0833e+00	4.7777e+00	268	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000198963	2	1377	10	protein_coding	195813	9.9855e-01	0	1.8748e+01	0.0000e+00	NA	9	77112281	77308093
TIAL1	ENST00000369093	66	2.1310e+02	3.0972e-01	1.0543e-05	2579	8	5.8495e+01	1.3676e-01	668	58	7.1181e+01	8.1483e-01	3.8814e-06	699	0	1.3203e-06	300	2.6685e+01	9.9992e-01	2.1695e-11	8.2690e-05	0.0000e+00	6.5900e-01	1.0140e+00	2.5300e-01	3.8000e-01	0.0000e+00	1.1200e-01		1.2281e+00	3.5808e+00	4.7869e+00	269	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000151923	2	1176	12	protein_coding	22343	9.9879e-01	0	1.9231e+01	0.0000e+00	NA	10	121334199	121356541
NRXN3	ENST00000554719	409	6.5698e+02	6.2255e-01	4.0224e-05	7030	156	2.7162e+02	5.7433e-01	2865	243	2.5447e+02	9.5494e-01	1.6364e-05	2065	1	2.2098e-06	494	4.2532e+01	1.0000e+00	1.3105e-16	1.1476e-06	2.3512e-02	8.5900e-01	1.0620e+00	5.7300e-01	6.7600e-01	7.0000e-03	1.1200e-01		5.6509e-01	3.4380e+00	5.9013e+00	270	0	0	4	1.5962e-05	4.0078e-06	125741	4	0	125745	1.5905e-05	3.1811e-05	1.2325e-04	2.8922e-05	0.0000e+00	0.0000e+00	0.0000e+00	8.7945e-06	0.0000e+00	0.0000e+00	1.2304e-04	2.8909e-05	0.0000e+00	0.0000e+00	0.0000e+00	8.7899e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000021645	2	3183	15	protein_coding	1622029	9.9986e-01	1	2.9324e+01	3.4102e-02	NA	14	78708734	80330762
PTPRD	ENST00000381196	1058	1.0833e+03	9.7665e-01	6.0352e-05	12469	605	7.1829e+02	8.4228e-01	8268	536	3.9502e+02	1.3569e+00	2.2910e-05	3744	5	4.8291e-06	1139	9.4220e+01	1.0000e+00	7.4133e-33	3.3814e-12	5.3067e-02	1.2630e+00	1.4570e+00	9.2800e-01	1.0270e+00	2.7000e-02	1.1200e-01	syn_outlier	-5.5761e+00	2.7314e-01	8.5174e+00	271	0	0	12	6.8485e-05	2.4104e-05	125730	17	0	125747	6.7598e-05	5.7461e-04	2.6770e-04	5.7829e-05	0.0000e+00	5.4366e-05	0.0000e+00	6.1828e-05	1.6426e-04	7.2526e-05	2.4609e-04	5.7819e-05	0.0000e+00	5.4367e-05	0.0000e+00	6.1530e-05	1.6293e-04	6.5327e-05	protein_coding	ENSG00000153707	2	5736	35	protein_coding	2298478	1.0000e+00	4	6.6597e+01	6.0063e-02	NA	9	8314246	10612723
WAPAL	ENST00000298767	383	6.2673e+02	6.1111e-01	3.1282e-05	7915	80	2.6094e+02	3.0658e-01	3276	199	2.1847e+02	9.1088e-01	1.0787e-05	2186	2	3.2715e-06	697	5.6452e+01	1.0000e+00	4.5781e-21	3.2734e-08	3.5428e-02	8.1100e-01	1.0240e+00	5.6100e-01	6.6500e-01	1.3000e-02	1.1200e-01		1.0354e+00	3.4597e+00	6.7157e+00	272	0	0	2	7.9637e-06	3.9825e-06	125720	2	0	125722	7.9541e-06	7.9541e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.8073e-06	1.6303e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.7928e-06	1.6293e-04	0.0000e+00	protein_coding	ENSG00000062650	2	3570	18	protein_coding	86560	1.0000e+00	1	4.0471e+01	2.4709e-02	NA	10	88195013	88281572
RBM26	ENST00000267229	358	5.2034e+02	6.8802e-01	2.6573e-05	6389	112	1.8915e+02	5.9211e-01	2341	183	1.7360e+02	1.0542e+00	8.2942e-06	1901	2	3.6006e-06	641	5.6306e+01	1.0000e+00	5.2319e-21	3.4578e-08	3.5521e-02	9.3400e-01	1.1920e+00	6.3000e-01	7.5100e-01	1.4000e-02	1.1200e-01		-5.6090e-01	2.5290e+00	6.7064e+00	273	0	0	4	3.9312e-05	1.9017e-05	125739	9	0	125748	3.5786e-05	1.6104e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.7589e-05	2.0661e-04	1.8202e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.6369e-05	1.6288e-04	1.6333e-04	protein_coding	ENSG00000139746	2	2940	21	protein_coding	94651	1.0000e+00	2	4.4092e+01	4.5360e-02	NA	13	79885962	79980612
RIF1	ENST00000243326	1270	1.2292e+03	1.0332e+00	6.0594e-05	16238	242	3.3304e+02	7.2665e-01	4396	503	4.3269e+02	1.1625e+00	2.1662e-05	4659	6	5.1464e-06	1497	1.0505e+02	1.0000e+00	4.3324e-36	3.0661e-13	5.7117e-02	1.0800e+00	1.2510e+00	9.8600e-01	1.0820e+00	3.0000e-02	1.1300e-01		-2.6570e+00	-4.1404e-01	8.9551e+00	274	0	0	20	8.7425e-05	8.0673e-06	125720	21	0	125741	8.3508e-05	8.7688e-04	1.2482e-04	6.1364e-05	9.9305e-05	2.2003e-04	0.0000e+00	9.9985e-05	0.0000e+00	4.4053e-05	1.2304e-04	5.7819e-05	9.9211e-05	2.1749e-04	0.0000e+00	9.6699e-05	0.0000e+00	3.2663e-05	protein_coding	ENSG00000080345	2	7416	35	protein_coding	98131	1.0000e+00	3	6.7393e+01	4.4515e-02	NA	2	152266397	152364527
NLK	ENST00000407008	117	2.8694e+02	4.0775e-01	1.5069e-05	3444	27	1.0048e+02	2.6870e-01	1298	96	1.0635e+02	9.0267e-01	6.3380e-06	1021	0	1.6268e-06	293	2.6497e+01	9.9991e-01	2.5753e-11	8.8719e-05	0.0000e+00	7.6400e-01	1.0700e+00	3.5000e-01	4.7500e-01	0.0000e+00	1.1300e-01		7.8898e-01	3.5650e+00	4.7700e+00	275	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000087095	2	1581	11	protein_coding	154645	9.9893e-01	0	1.9569e+01	0.0000e+00	NA	17	26368763	26523407
PHIP	ENST00000275034	508	9.5493e+02	5.3198e-01	4.9683e-05	11924	162	4.7160e+02	3.4351e-01	5877	308	3.1469e+02	9.7873e-01	1.5764e-05	3388	6	6.0767e-06	1255	1.0459e+02	1.0000e+00	6.5738e-36	3.6386e-13	5.7367e-02	8.9100e-01	1.0760e+00	4.9400e-01	5.7200e-01	3.0000e-02	1.1300e-01		2.9665e-01	5.1395e+00	8.9332e+00	276	0	0	11	4.9113e-05	8.2804e-06	125732	12	0	125744	4.7717e-05	2.8631e-04	0.0000e+00	2.8969e-05	1.0004e-04	5.4443e-05	4.6211e-05	7.2454e-05	0.0000e+00	0.0000e+00	0.0000e+00	2.8909e-05	9.9211e-05	5.4367e-05	4.6195e-05	7.0325e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000146247	2	5463	40	protein_coding	142370	1.0000e+00	8	8.1377e+01	9.8308e-02	NA	6	79645584	79787953
LPHN2	ENST00000319517	647	7.4071e+02	8.7349e-01	3.8252e-05	9215	261	3.4946e+02	7.4686e-01	4363	282	2.7046e+02	1.0427e+00	1.4882e-05	2692	3	4.1988e-06	775	6.8499e+01	1.0000e+00	8.8135e-25	1.8815e-09	4.3796e-02	9.4500e-01	1.1510e+00	8.1800e-01	9.3200e-01	1.9000e-02	1.1300e-01		-5.5171e-01	1.2236e+00	7.3335e+00	277	0	0	13	6.9814e-05	1.2270e-05	125728	17	0	125745	6.7599e-05	5.7461e-04	0.0000e+00	1.2745e-04	9.9443e-05	5.5568e-05	9.2679e-05	6.2658e-05	1.6340e-04	3.9949e-05	0.0000e+00	1.1564e-04	9.9211e-05	5.4367e-05	9.2392e-05	6.1532e-05	1.6293e-04	3.2663e-05	protein_coding	ENSG00000117114	2	4209	19	protein_coding	686276	1.0000e+00	1	5.0374e+01	1.9851e-02	NA	1	81771845	82458120
DPYSL5	ENST00000288699	206	3.7371e+02	5.5123e-01	2.3378e-05	3679	75	1.7889e+02	4.1925e-01	1817	151	1.5594e+02	9.6831e-01	1.1275e-05	1148	0	1.3525e-06	294	2.6346e+01	9.9991e-01	2.9545e-11	9.3867e-05	0.0000e+00	8.4700e-01	1.1080e+00	4.9100e-01	6.1900e-01	0.0000e+00	1.1300e-01		3.1107e-01	3.0829e+00	4.7564e+00	278	0	0	3	1.5937e-05	7.9734e-06	125730	3	0	125733	1.1930e-05	1.7895e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.5275e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.6374e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000157851	2	1692	12	protein_coding	102605	9.9833e-01	0	1.8370e+01	0.0000e+00	NA	2	27070615	27173219
USP8	ENST00000433963	439	5.6371e+02	7.7877e-01	2.8913e-05	7316	188	2.9906e+02	6.2864e-01	4036	176	1.9378e+02	9.0824e-01	9.5148e-06	2073	2	2.8575e-06	736	5.5558e+01	1.0000e+00	1.0335e-20	4.5727e-08	3.5998e-02	8.0200e-01	1.0290e+00	7.1900e-01	8.4300e-01	1.4000e-02	1.1300e-01		1.0041e+00	1.8666e+00	6.6584e+00	279	0	0	7	3.7758e-05	1.2211e-05	125722	9	0	125731	3.5791e-05	1.6106e-04	6.1683e-05	3.4303e-05	1.1408e-04	0.0000e+00	4.6412e-05	3.6182e-05	1.6745e-04	0.0000e+00	6.1518e-05	2.8921e-05	9.9211e-05	0.0000e+00	4.6195e-05	3.5164e-05	1.6293e-04	0.0000e+00	protein_coding	ENSG00000138592	3	3354	19	protein_coding	76704	9.9998e-01	2	3.9397e+01	5.0765e-02	NA	15	50716577	50793280
